Pos,Race No,Fav,Share,Print,Name,Time,Category,Cat Pos,Gender,Gen Pos,Pace,TOD,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos
288,172,,,,Kurt Knaub,06:51:34,4049,42,Male,212,13:21 min/m,14:53:34,00:00:24,251,39,184,02:44:14,303,49,225,02:21:41,298,46,219,01:45:38,264,43,193,00:00:24,251,39,184,02:44:14,303,49,225,02:21:41,298,46,219,01:45:38,264,43,193
289,342,,,,Brett Rawson,06:52:02,3039,99,Male,213,13:22 min/m,14:54:02,00:00:26,267,91,195,02:40:25,275,97,209,02:16:06,272,93,203,01:55:31,345,103,236,00:00:26,267,91,195,02:40:25,275,97,209,02:16:06,272,93,203,01:55:31,345,103,236
290,462,,,,Jonathan Sinclair,06:52:29,2029,46,Male,214,13:23 min/m,14:54:29,00:00:38,356,48,252,02:49:55,325,48,238,02:17:32,280,44,208,01:45:01,257,40,189,00:00:38,356,48,252,02:49:55,325,48,238,02:17:32,280,44,208,01:45:01,257,40,189
291,356,,,,Eric Massanari,06:52:30,4049,43,Male,215,13:23 min/m,14:54:30,00:00:18,197,26,149,02:45:24,307,51,227,02:14:48,268,40,200,01:52:16,325,50,223,00:00:18,197,26,149,02:45:24,307,51,227,02:14:48,268,40,200,01:52:16,325,50,223
292,482,,,,Melissa Gosse,06:52:30,2029,19,Female,77,13:23 min/m,14:54:30,00:00:37,355,28,104,02:50:01,326,23,88,02:17:26,278,19,72,01:45:03,258,17,69,00:00:37,355,28,104,02:50:01,326,23,88,02:17:26,278,19,72,01:45:03,258,17,69
293,465,,,,Katherine Lavoie,06:52:46,2029,20,Female,78,13:24 min/m,14:54:46,00:00:43,387,30,123,02:46:18,312,22,83,02:23:24,303,22,81,01:43:03,246,12,63,00:00:43,387,30,123,02:46:18,312,22,83,02:23:24,303,22,81,01:43:03,246,12,63
294,365,,,,Tim Jahraus,06:53:10,3039,100,Male,216,13:24 min/m,14:55:10,00:00:21,227,83,169,02:37:20,254,92,198,02:25:46,315,102,231,01:50:03,305,95,213,00:00:21,227,83,169,02:37:20,254,92,198,02:25:46,315,102,231,01:50:03,305,95,213
295,514,,,,Tim Linklater,06:53:36,4049,44,Male,217,13:25 min/m,14:55:36,00:00:44,396,66,267,02:43:30,300,48,224,02:25:14,311,51,228,01:44:50,253,40,187,00:00:44,396,66,267,02:43:30,300,48,224,02:25:14,311,51,228,01:44:50,253,40,187
296,112,,,,Heidi Denn,06:53:49,4049,11,Female,79,13:26 min/m,14:55:49,00:00:38,360,20,107,02:41:42,287,10,71,02:25:24,313,13,84,01:46:43,278,13,79,00:00:38,360,20,107,02:41:42,287,10,71,02:25:24,313,13,84,01:46:43,278,13,79
297,199,,,,Matt Hula,06:53:49,4049,45,Male,218,13:26 min/m,14:55:49,00:00:35,337,58,238,02:41:09,282,42,214,02:19:48,290,43,212,01:52:51,330,52,226,00:00:35,337,58,238,02:41:09,282,42,214,02:19:48,290,43,212,01:52:51,330,52,226
298,222,,,,Nancy Semer,06:54:11,4049,12,Female,80,13:26 min/m,14:56:11,00:00:19,203,9,51,02:45:21,306,13,80,02:22:59,301,11,80,01:45:51,266,12,73,00:00:19,203,9,51,02:45:21,306,13,80,02:22:59,301,11,80,01:45:51,266,12,73
299,62,,,,Colleen Rice,06:54:25,3039,39,Female,81,13:27 min/m,14:56:25,00:00:33,322,41,91,02:58:51,358,48,104,02:20:14,292,38,79,01:35:18,185,21,43,00:00:33,322,41,91,02:58:51,358,48,104,02:20:14,292,38,79,01:35:18,185,21,43
300,215,,,,Mike Westlake,06:54:40,4049,46,Male,219,13:27 min/m,14:56:40,00:00:30,301,51,217,02:49:18,323,53,237,02:17:47,282,42,209,01:47:34,290,46,205,00:00:30,301,51,217,02:49:18,323,53,237,02:17:47,282,42,209,01:47:34,290,46,205
301,114,,,,Jacqui Styrna,06:54:48,3039,40,Female,82,13:28 min/m,14:56:48,00:00:18,198,20,49,02:41:27,283,33,69,02:26:15,319,39,86,01:47:04,281,34,80,00:00:18,198,20,49,02:41:27,283,33,69,02:26:15,319,39,86,01:47:04,281,34,80
302,496,,,,Paul Mathias,06:54:50,5059,22,Male,220,13:28 min/m,14:56:50,00:00:16,175,11,136,02:36:27,247,14,192,02:31:36,337,25,242,01:46:46,279,19,200,00:00:16,175,11,136,02:36:27,247,14,192,02:31:36,337,25,242,01:46:46,279,19,200
303,51,,,,Carol Xu,06:55:24,2029,21,Female,83,13:29 min/m,14:57:24,00:00:17,190,12,47,02:50:58,329,24,89,02:17:58,283,20,74,01:46:27,274,21,77,00:00:17,190,12,47,02:50:58,329,24,89,02:17:58,283,20,74,01:46:27,274,21,77
304,235,,,,Pam Thomson,06:55:52,5059,7,Female,84,13:30 min/m,14:57:52,00:00:16,173,5,39,02:45:36,310,6,82,02:24:03,305,7,82,01:46:13,267,7,74,00:00:16,173,5,39,02:45:36,310,6,82,02:24:03,305,7,82,01:46:13,267,7,74
305,116,,,,James Willson,06:56:07,6069,2,Male,221,13:30 min/m,14:58:07,00:00:56,408,6,277,02:38:21,263,2,202,02:26:14,318,2,233,01:51:32,316,2,216,00:00:56,408,6,277,02:38:21,263,2,202,02:26:14,318,2,233,01:51:32,316,2,216
306,392,,,,William Everett,06:56:49,4049,47,Male,222,13:32 min/m,14:58:49,00:00:24,248,38,182,02:50:20,327,54,239,02:20:01,291,44,213,01:46:27,273,44,197,00:00:24,248,38,182,02:50:20,327,54,239,02:20:01,291,44,213,01:46:27,273,44,197
307,24,,,,Andrew Murray,06:58:32,5059,23,Male,223,13:35 min/m,15:00:32,99:99:99,999999,999999,999999,02:54:54,344,27,247,02:13:01,255,18,195,01:50:36,312,23,215,99:99:99,999999,999999,999999,02:54:54,344,27,247,02:13:01,255,18,195,01:50:36,312,23,215
308,26,,,,Anna Lamping,06:58:37,2029,22,Female,85,13:35 min/m,15:00:37,00:00:21,219,16,57,02:34:32,239,16,52,02:19:14,288,21,77,02:04:50,377,31,120,00:00:21,219,16,57,02:34:32,239,16,52,02:19:14,288,21,77,02:04:50,377,31,120
309,256,,,,Rod Schoene,06:58:56,4049,48,Male,224,13:36 min/m,15:00:56,00:00:21,221,32,164,02:28:22,217,35,175,02:16:40,274,41,205,02:13:53,393,64,265,00:00:21,221,32,164,02:28:22,217,35,175,02:16:40,274,41,205,02:13:53,393,64,265
310,489,,,,Monique Powell,06:59:09,4049,13,Female,86,13:36 min/m,15:01:09,00:00:24,250,11,67,02:44:42,305,12,79,02:24:16,306,12,83,01:50:10,309,17,95,00:00:24,250,11,67,02:44:42,305,12,79,02:24:16,306,12,83,01:50:10,309,17,95
311,83,,,,Emil King,06:59:30,4049,49,Male,225,13:37 min/m,15:01:30,00:00:26,264,42,193,02:37:11,252,39,196,02:30:31,336,56,241,01:51:47,320,49,219,00:00:26,264,42,193,02:37:11,252,39,196,02:30:31,336,56,241,01:51:47,320,49,219
312,524,,,,Wilson Sackett,07:00:31,2029,47,Male,226,13:39 min/m,15:02:31,00:00:22,236,34,173,02:41:37,284,46,215,02:23:05,302,47,222,01:55:47,347,47,237,00:00:22,236,34,173,02:41:37,284,46,215,02:23:05,302,47,222,01:55:47,347,47,237
313,88,,,,Eric Limprecht,07:01:49,3039,101,Male,227,13:41 min/m,15:03:49,00:00:27,279,93,203,02:37:38,256,93,199,02:20:21,293,96,214,02:03:50,373,106,254,00:00:27,279,93,203,02:37:38,256,93,199,02:20:21,293,96,214,02:03:50,373,106,254
314,186,,,,Mandy Holmgren,07:02:22,3039,41,Female,87,13:42 min/m,15:04:22,00:00:20,212,21,54,02:43:39,298,35,75,02:27:54,328,42,91,01:50:48,313,43,98,00:00:20,212,21,54,02:43:39,298,35,75,02:27:54,328,42,91,01:50:48,313,43,98
315,94,,,,Erin Tudor,07:02:26,2029,23,Female,88,13:42 min/m,15:04:26,00:00:19,206,14,53,02:43:38,297,20,74,02:27:56,329,24,92,01:50:52,314,24,99,00:00:19,206,14,53,02:43:38,297,20,74,02:27:56,329,24,92,01:50:52,314,24,99
316,52,,,,Caroline Buchanan,07:02:43,4049,14,Female,89,13:43 min/m,15:04:43,00:00:16,177,5,40,02:52:23,334,14,91,02:29:13,332,16,95,01:41:05,232,10,57,00:00:16,177,5,40,02:52:23,334,14,91,02:29:13,332,16,95,01:41:05,232,10,57
317,371,,,,Sean Cosgrove,07:03:01,4049,50,Male,228,13:44 min/m,15:05:01,00:00:19,201,28,151,02:38:56,261,40,201,02:25:00,309,49,226,01:59:05,360,58,246,00:00:19,201,28,151,02:38:56,261,40,201,02:25:00,309,49,226,01:59:05,360,58,246
318,117,,,,Janet Fuhrmeister,07:03:22,5059,8,Female,90,13:44 min/m,15:05:22,00:00:32,316,7,90,02:49:15,322,7,86,02:27:26,325,8,88,01:46:39,277,8,78,00:00:32,316,7,90,02:49:15,322,7,86,02:27:26,325,8,88,01:46:39,277,8,78
319,38,,,,Bill Thomas,07:03:24,5059,24,Male,229,13:44 min/m,15:05:24,00:00:34,329,27,235,02:42:27,292,22,220,02:21:56,299,23,220,01:59:01,359,28,245,00:00:34,329,27,235,02:42:27,292,22,220,02:21:56,299,23,220,01:59:01,359,28,245
320,324,,,,Jonathan Hoffman,07:03:48,3039,102,Male,230,13:45 min/m,15:05:48,00:00:38,362,107,255,02:39:37,268,96,206,02:35:06,351,107,250,01:49:03,298,93,208,00:00:38,362,107,255,02:39:37,268,96,206,02:35:06,351,107,250,01:49:03,298,93,208
321,389,,,,Sara Foster,07:04:33,4049,15,Female,91,13:47 min/m,15:06:33,00:00:39,365,21,109,02:53:28,338,15,93,02:26:12,317,14,85,01:44:53,255,11,67,00:00:39,365,21,109,02:53:28,338,15,93,02:26:12,317,14,85,01:44:53,255,11,67
322,286,,,,Thomas Frizelle,07:05:18,4049,51,Male,231,13:48 min/m,15:07:18,00:00:30,298,50,215,02:40:18,273,41,208,02:24:38,307,48,224,02:00:21,362,59,248,00:00:30,298,50,215,02:40:18,273,41,208,02:24:38,307,48,224,02:00:21,362,59,248
323,89,,,,Eric George,07:05:44,3039,103,Male,232,13:49 min/m,15:07:44,00:00:42,379,111,262,02:46:44,313,103,230,02:26:54,323,103,236,01:52:05,324,99,222,00:00:42,379,111,262,02:46:44,313,103,230,02:26:54,323,103,236,01:52:05,324,99,222
324,247,,,,Philip Huang,07:08:00,4049,52,Male,233,13:53 min/m,15:10:00,00:00:19,200,27,150,02:51:05,330,55,241,02:26:46,322,55,235,01:50:09,308,48,214,00:00:19,200,27,150,02:51:05,330,55,241,02:26:46,322,55,235,01:50:09,308,48,214
325,143,,,,Jon Armstrong,07:08:25,3039,104,Male,234,13:54 min/m,15:10:25,00:00:24,246,87,180,02:32:38,236,88,186,02:23:36,304,99,223,02:12:10,391,109,263,00:00:24,246,87,180,02:32:38,236,88,186,02:23:36,304,99,223,02:12:10,391,109,263
326,347,,,,Dino Seppi,07:09:09,5059,25,Male,235,13:56 min/m,15:11:09,00:00:48,405,36,274,02:46:41,314,24,231,02:29:47,335,24,240,01:52:40,327,24,225,00:00:48,405,36,274,02:46:41,314,24,231,02:29:47,335,24,240,01:52:40,327,24,225
327,106,,,,Greg Taleck,07:09:17,4049,53,Male,236,13:56 min/m,15:11:17,00:00:31,311,54,224,02:42:27,291,45,219,02:34:20,346,58,248,01:52:30,326,51,224,00:00:31,311,54,224,02:42:27,291,45,219,02:34:20,346,58,248,01:52:30,326,51,224
328,49,,,,Brooke Brashers,07:10:01,2029,24,Female,92,13:57 min/m,15:12:01,00:00:28,286,20,79,02:43:33,299,21,76,02:36:01,356,27,104,01:50:26,310,23,96,00:00:28,286,20,79,02:43:33,299,21,76,02:36:01,356,27,104,01:50:26,310,23,96
329,295,,,,Tyson Harper,07:11:06,4049,54,Male,237,13:59 min/m,15:13:06,00:00:37,352,62,250,02:54:42,345,59,248,02:22:38,300,47,221,01:53:46,335,53,228,00:00:37,352,62,250,02:54:42,345,59,248,02:22:38,300,47,221,01:53:46,335,53,228
330,22,,,,Andrea Dotson,07:12:34,4049,16,Female,93,14:02 min/m,15:14:34,00:00:30,297,16,83,02:56:11,349,18,100,02:28:39,330,15,93,01:47:43,292,15,87,00:00:30,297,16,83,02:56:11,349,18,100,02:28:39,330,15,93,01:47:43,292,15,87
331,234,,,,Nicole George,07:13:52,3039,42,Female,94,14:05 min/m,15:15:52,00:00:41,376,52,115,02:53:33,339,42,94,02:33:07,343,44,98,01:47:10,285,36,83,00:00:41,376,52,115,02:53:33,339,42,94,02:33:07,343,44,98,01:47:10,285,36,83
332,250,,,,Quinn Rathkamp,07:14:04,2029,25,Female,95,14:05 min/m,15:16:04,00:00:34,330,24,95,03:02:47,371,27,111,02:27:38,327,23,90,01:43:38,250,13,64,00:00:34,330,24,95,03:02:47,371,27,111,02:27:38,327,23,90,01:43:38,250,13,64
333,258,,,,Ron Homer,07:14:39,4049,55,Male,238,14:06 min/m,15:16:39,00:00:21,225,35,167,02:44:35,304,50,226,02:40:55,367,62,255,01:49:08,299,47,209,00:00:21,225,35,167,02:44:35,304,50,226,02:40:55,367,62,255,01:49:08,299,47,209
334,419,,,,Alexander Rohde,07:14:41,3039,105,Male,239,14:06 min/m,15:16:41,00:00:36,348,104,247,03:10:28,392,109,268,02:20:42,296,98,217,01:43:31,248,87,185,00:00:36,348,104,247,03:10:28,392,109,268,02:20:42,296,98,217,01:43:31,248,87,185
335,323,,,,Joe Ferguson,07:16:49,3039,106,Male,240,14:10 min/m,15:18:49,00:00:37,351,105,249,02:45:11,309,102,228,02:24:59,308,100,225,02:06:37,382,108,260,00:00:37,351,105,249,02:45:11,309,102,228,02:24:59,308,100,225,02:06:37,382,108,260
336,211,,,,Michelle Wrobbel,07:17:22,2029,26,Female,96,14:12 min/m,15:19:22,00:00:37,349,27,102,02:55:40,347,26,99,02:35:26,355,26,103,01:46:15,268,19,75,00:00:37,349,27,102,02:55:40,347,26,99,02:35:26,355,26,103,01:46:15,268,19,75
337,61,,,,Cody Brocato,07:17:23,2029,48,Male,241,14:12 min/m,15:19:23,00:00:37,350,47,248,02:55:40,348,49,249,02:35:22,354,48,252,01:46:19,270,41,195,00:00:37,350,47,248,02:55:40,348,49,249,02:35:22,354,48,252,01:46:19,270,41,195
338,153,,,,Karl Kaiyala,07:18:30,6069,3,Male,242,14:14 min/m,15:20:30,00:00:38,361,3,254,02:50:21,328,4,240,02:29:16,333,3,238,01:58:52,357,3,243,00:00:38,361,3,254,02:50:21,328,4,240,02:29:16,333,3,238,01:58:52,357,3,243
339,507,,,,Sian Slawson,07:18:42,3039,43,Female,97,14:14 min/m,15:20:42,00:00:22,234,25,62,03:01:44,368,50,109,02:28:52,331,43,94,01:48:05,294,40,89,00:00:22,234,25,62,03:01:44,368,50,109,02:28:52,331,43,94,01:48:05,294,40,89
340,525,,,,Derek Morgan,07:19:31,3039,107,Male,243,14:16 min/m,15:21:31,00:00:25,255,89,187,02:58:05,353,107,251,02:27:24,324,104,237,01:54:01,337,101,230,00:00:25,255,89,187,02:58:05,353,107,251,02:27:24,324,104,237,01:54:01,337,101,230
341,391,,,,Walter Edwards,07:21:07,4049,56,Male,244,14:19 min/m,15:23:07,00:00:25,252,40,185,02:59:52,360,62,256,02:34:43,348,59,249,01:46:31,275,45,198,00:00:25,252,40,185,02:59:52,360,62,256,02:34:43,348,59,249,01:46:31,275,45,198
342,440,,,,Craig Powell,07:21:18,4049,57,Male,245,14:19 min/m,15:23:18,00:00:26,262,41,191,02:58:20,355,60,253,02:25:50,316,53,232,01:57:08,352,55,239,00:00:26,262,41,191,02:58:20,355,60,253,02:25:50,316,53,232,01:57:08,352,55,239
343,249,,,,Pritam Das,07:22:32,3039,108,Male,246,14:22 min/m,15:24:32,00:00:25,254,88,186,02:51:45,332,105,243,02:36:03,357,108,253,01:54:43,342,102,234,00:00:25,254,88,186,02:51:45,332,105,243,02:36:03,357,108,253,01:54:43,342,102,234
344,533,,,,Sherry Kessler,07:23:31,4049,17,Female,98,14:24 min/m,15:25:31,00:00:44,391,23,126,02:53:52,340,16,95,02:32:33,340,17,97,01:57:05,351,21,113,00:00:44,391,23,126,02:53:52,340,16,95,02:32:33,340,17,97,01:57:05,351,21,113
345,406,,,,Justin Roth,07:24:00,3039,109,Male,247,14:24 min/m,15:26:00,00:00:26,266,90,194,03:00:43,363,108,258,02:29:27,334,105,239,01:53:49,336,100,229,00:00:26,266,90,194,03:00:43,363,108,258,02:29:27,334,105,239,01:53:49,336,100,229
346,532,,,,Paul Farrow,07:24:34,6069,4,Male,248,14:26 min/m,15:26:34,00:00:29,289,1,210,02:47:13,317,3,234,02:33:11,344,4,246,02:04:09,376,4,257,00:00:29,289,1,210,02:47:13,317,3,234,02:33:11,344,4,246,02:04:09,376,4,257
347,472,,,,Lisa Elliott,07:24:35,3039,44,Female,99,14:26 min/m,15:26:35,00:00:28,284,35,78,02:56:33,352,46,102,02:35:13,353,47,102,01:52:47,328,46,103,00:00:28,284,35,78,02:56:33,352,46,102,02:35:13,353,47,102,01:52:47,328,46,103
348,509,,,,Stephen Young,07:24:35,5059,26,Male,249,14:26 min/m,15:26:35,00:00:27,277,19,201,02:47:14,315,25,232,02:33:12,345,27,247,02:04:08,375,33,256,00:00:27,277,19,201,02:47:14,315,25,232,02:33:12,345,27,247,02:04:08,375,33,256
349,450,,,,Francine Hong,07:25:05,5059,9,Female,100,14:27 min/m,15:27:05,00:00:44,394,12,129,03:03:20,373,11,113,02:31:39,338,9,96,01:50:05,306,10,93,00:00:44,394,12,129,03:03:20,373,11,113,02:31:39,338,9,96,01:50:05,306,10,93
350,21,,,,Ana Hinz,07:26:09,3039,45,Female,101,14:29 min/m,15:28:09,00:00:39,366,48,110,02:54:41,346,44,98,02:38:01,360,48,107,01:53:26,332,47,105,00:00:39,366,48,110,02:54:41,346,44,98,02:38:01,360,48,107,01:53:26,332,47,105
351,28,,,,Arlane Olson,07:26:28,5059,10,Female,102,14:29 min/m,15:28:28,00:00:40,370,10,112,03:00:31,364,10,106,02:36:18,358,10,105,01:49:38,302,9,92,00:00:40,370,10,112,03:00:31,364,10,106,02:36:18,358,10,105,01:49:38,302,9,92
352,220,,,,Monty Apt,07:29:11,4049,58,Male,250,14:35 min/m,15:31:11,00:00:27,278,45,202,02:53:10,335,56,244,02:41:26,368,63,256,01:54:33,341,54,233,00:00:27,278,45,202,02:53:10,335,56,244,02:41:26,368,63,256,01:54:33,341,54,233
353,252,,,,Rayna Swope,07:31:35,3039,46,Female,103,14:39 min/m,15:33:35,00:00:44,393,59,128,02:49:33,324,41,87,02:34:42,347,45,99,02:07:20,383,54,123,00:00:44,393,59,128,02:49:33,324,41,87,02:34:42,347,45,99,02:07:20,383,54,123
354,208,,,,Michael Wallace,07:32:09,4049,59,Male,251,14:40 min/m,15:34:09,00:00:29,288,47,209,02:54:13,342,58,246,02:26:30,320,54,234,02:11:25,389,63,262,00:00:29,288,47,209,02:54:13,342,58,246,02:26:30,320,54,234,02:11:25,389,63,262
355,136,,,,Jessica Zylstra,07:32:33,3039,47,Female,104,14:41 min/m,15:34:33,00:00:29,294,36,80,02:54:12,341,43,96,02:26:31,321,40,87,02:11:49,390,56,128,00:00:29,294,36,80,02:54:12,341,43,96,02:26:31,321,40,87,02:11:49,390,56,128
356,119,,,,Jason August,07:33:34,4049,60,Male,252,14:43 min/m,15:35:34,00:00:33,326,57,233,02:53:20,336,57,245,02:38:43,362,61,254,02:01:30,365,60,249,00:00:33,326,57,233,02:53:20,336,57,245,02:38:43,362,61,254,02:01:30,365,60,249
357,264,,,,Sandra Fenton,07:33:35,2029,27,Female,105,14:43 min/m,15:35:35,00:00:33,323,22,92,02:53:22,337,25,92,02:38:43,361,29,108,02:01:29,364,29,116,00:00:33,323,22,92,02:53:22,337,25,92,02:38:43,361,29,108,02:01:29,364,29,116
358,454,,,,Ian Patton,07:33:42,4049,61,Male,253,14:43 min/m,15:35:42,00:00:36,343,60,242,02:59:36,359,61,255,02:35:07,352,60,251,01:58:58,358,57,244,00:00:36,343,60,242,02:59:36,359,61,255,02:35:07,352,60,251,01:58:58,358,57,244
359,58,,,,Christy Shelton,07:33:57,4049,18,Female,106,14:44 min/m,15:35:57,00:00:30,300,17,84,03:03:04,372,20,112,02:40:23,365,19,111,01:50:29,311,18,97,00:00:30,300,17,84,03:03:04,372,20,112,02:40:23,365,19,111,01:50:29,311,18,97
360,340,,,,Zabyn Towner,07:34:39,4049,62,Male,254,14:45 min/m,15:36:39,00:00:19,209,29,156,03:11:39,394,66,270,02:25:10,310,50,227,01:57:48,355,56,241,00:00:19,209,29,156,03:11:39,394,66,270,02:25:10,310,50,227,01:57:48,355,56,241
361,74,,,,Dennis Armstrong,07:34:50,3039,110,Male,255,14:46 min/m,15:36:50,00:00:45,397,112,268,02:56:02,350,106,250,02:33:00,342,106,245,02:05:48,380,107,259,00:00:45,397,112,268,02:56:02,350,106,250,02:33:00,342,106,245,02:05:48,380,107,259
362,408,,,,Kevin Root,07:34:59,5059,27,Male,256,14:46 min/m,15:36:59,00:00:31,313,23,225,03:02:41,370,32,260,02:42:47,372,28,258,01:49:30,300,21,210,00:00:31,313,23,225,03:02:41,370,32,260,02:42:47,372,28,258,01:49:30,300,21,210
363,298,,,,Yoshiko Fujioka,07:35:02,3039,48,Female,107,14:46 min/m,15:37:02,00:00:38,358,46,106,03:05:39,380,52,116,02:35:03,350,46,101,01:54:20,339,48,108,00:00:38,358,46,106,03:05:39,380,52,116,02:35:03,350,46,101,01:54:20,339,48,108
364,274,,,,Shawn Leonard,07:36:03,5059,28,Male,257,14:48 min/m,15:38:03,00:00:39,368,31,257,02:57:51,354,28,252,02:48:18,384,33,264,01:49:54,304,22,212,00:00:39,368,31,257,02:57:51,354,28,252,02:48:18,384,33,264,01:49:54,304,22,212
365,512,,,,Teri Hubbs,07:37:46,2029,28,Female,108,14:51 min/m,15:39:46,00:00:46,402,31,130,03:04:49,377,28,114,02:39:21,364,30,110,01:53:36,334,26,107,00:00:46,402,31,130,03:04:49,377,28,114,02:39:21,364,30,110,01:53:36,334,26,107
366,307,,,,Lauren Asher,07:37:47,2029,29,Female,109,14:51 min/m,15:39:47,00:00:21,224,17,58,03:06:38,382,30,117,02:35:02,349,25,100,01:56:06,348,27,111,00:00:21,224,17,58,03:06:38,382,30,117,02:35:02,349,25,100,01:56:06,348,27,111
367,495,,,,Patrick Lewis,07:38:48,5059,29,Male,258,14:53 min/m,15:40:48,00:00:28,287,21,208,02:51:10,331,26,242,02:46:01,381,32,262,02:01:36,366,30,250,00:00:28,287,21,208,02:51:10,331,26,242,02:46:01,381,32,262,02:01:36,366,30,250
368,336,,,,Susan Kelley,07:39:12,3039,49,Female,110,14:54 min/m,15:41:12,00:00:17,184,17,43,03:08:02,388,53,122,02:44:00,374,51,116,01:47:09,283,35,82,00:00:17,184,17,43,03:08:02,388,53,122,02:44:00,374,51,116,01:47:09,283,35,82
369,313,,,,Ann Wallace,07:39:13,4049,19,Female,111,14:54 min/m,15:41:13,00:00:17,188,7,45,03:08:02,387,22,121,02:44:02,375,20,117,01:47:09,282,14,81,00:00:17,188,7,45,03:08:02,387,22,121,02:44:02,375,20,117,01:47:09,282,14,81
370,290,,,,Tracy Courtenay,07:40:47,4049,20,Female,112,14:57 min/m,15:42:47,00:00:29,296,15,82,02:54:13,343,17,97,02:38:52,363,18,109,02:07:41,384,22,124,00:00:29,296,15,82,02:54:13,343,17,97,02:38:52,363,18,109,02:07:41,384,22,124
371,183,,,,Lisa Switzer,07:41:20,5059,11,Female,113,14:58 min/m,15:43:20,00:00:46,403,13,131,03:06:14,384,12,119,02:41:39,369,11,113,01:53:26,333,11,106,00:00:46,403,13,131,03:06:14,384,12,119,02:41:39,369,11,113,01:53:26,333,11,106
372,302,,,,Jennifer Cole,07:41:30,3039,50,Female,114,14:59 min/m,15:43:30,00:00:15,165,15,37,02:58:59,357,47,103,02:27:31,326,41,89,02:14:59,394,57,129,00:00:15,165,15,37,02:58:59,357,47,103,02:27:31,326,41,89,02:14:59,394,57,129
373,445,,,,David Appleby,07:41:43,4049,63,Male,259,14:59 min/m,15:43:43,00:00:44,395,65,266,03:03:56,374,63,261,02:32:38,341,57,244,02:05:07,378,62,258,00:00:44,395,65,266,03:03:56,374,63,261,02:32:38,341,57,244,02:05:07,378,62,258
374,433,,,,Candice Ridyard,07:41:44,3039,51,Female,115,14:59 min/m,15:43:44,00:00:44,392,58,127,02:56:09,351,45,101,02:40:26,366,49,112,02:05:09,379,53,121,00:00:44,392,58,127,02:56:09,351,45,101,02:40:26,366,49,112,02:05:09,379,53,121
375,522,,,,Craig Norquist,07:41:45,5059,30,Male,260,14:59 min/m,15:43:45,00:00:36,345,28,244,02:59:52,361,30,257,02:44:15,377,29,259,01:57:37,353,27,240,00:00:36,345,28,244,02:59:52,361,30,257,02:44:15,377,29,259,01:57:37,353,27,240
376,523,,,,Laura Norquist,07:41:46,5059,12,Female,116,14:59 min/m,15:43:46,00:00:35,339,9,100,02:59:58,362,9,105,02:44:09,376,12,118,01:57:37,354,12,114,00:00:35,339,9,100,02:59:58,362,9,105,02:44:09,376,12,118,01:57:37,354,12,114
377,492,,,,Nicole Van Zanten,07:43:39,2029,30,Female,117,15:03 min/m,15:45:39,00:00:26,269,19,73,03:05:43,379,29,115,02:37:07,359,28,106,02:00:48,363,28,115,00:00:26,269,19,73,03:05:43,379,29,115,02:37:07,359,28,106,02:00:48,363,28,115
378,452,,,,Guy Ross,07:43:47,2029,49,Male,261,15:03 min/m,15:45:47,00:00:24,249,37,183,02:48:47,321,47,236,02:42:12,370,49,257,02:12:47,392,49,264,00:00:24,249,37,183,02:48:47,321,47,236,02:42:12,370,49,257,02:12:47,392,49,264
379,151,,,,Karine Valliant-Saunders,07:49:15,3039,52,Female,118,15:14 min/m,15:51:15,00:00:17,181,16,41,03:01:43,367,49,108,02:59:18,398,57,128,01:48:13,295,41,90,00:00:17,181,16,41,03:01:43,367,49,108,02:59:18,398,57,128,01:48:13,295,41,90
380,174,,,,Kurt Lauer,07:49:25,5059,31,Male,262,15:14 min/m,15:51:25,00:00:32,319,24,229,03:01:02,365,31,259,02:44:30,379,31,261,02:03:52,374,32,255,00:00:32,319,24,229,03:01:02,365,31,259,02:44:30,379,31,261,02:03:52,374,32,255
381,102,,,,Gennifer Merrihew,07:54:24,4049,21,Female,119,15:24 min/m,15:56:24,00:00:19,204,10,52,03:01:41,366,19,107,02:59:53,399,23,129,01:52:49,329,19,104,00:00:19,204,10,52,03:01:41,366,19,107,02:59:53,399,23,129,01:52:49,329,19,104
382,343,,,,Sarah Fleming,07:54:42,3039,53,Female,120,15:24 min/m,15:56:42,00:00:41,375,51,114,03:12:46,396,56,125,02:45:35,380,52,119,01:56:20,349,50,112,00:00:41,375,51,114,03:12:46,396,56,125,02:45:35,380,52,119,01:56:20,349,50,112
383,416,,,,Al Harman,07:55:25,5059,32,Male,263,15:26 min/m,15:57:25,00:00:33,320,25,230,03:07:24,386,35,266,02:44:21,378,30,260,02:03:40,372,31,253,00:00:33,320,25,230,03:07:24,386,35,266,02:44:21,378,30,260,02:03:40,372,31,253
384,101,,,,Gay Hunter,07:56:34,6069,1,Female,121,15:28 min/m,15:58:34,00:00:43,389,1,125,03:06:52,385,1,120,02:43:19,373,1,115,02:06:21,381,1,122,00:00:43,389,1,125,03:06:52,385,1,120,02:43:19,373,1,115,02:06:21,381,1,122
